province,city,cityType,lon,lat
北京,北京市,直辖市,116.46,39.92
天津,天津市,直辖市,117.2,39.13
河北,石家庄市,地级市,114.48,38.03
河北,唐山市,地级市,118.02,39.63
河北,秦皇岛市,地级市,119.59964,39.93545
河北,邯郸市,地级市,114.47,36.6
河北,邢台市,地级市,114.48,37.05
河北,保定市,地级市,115.46459,38.87396
河北,张家口市,地级市,114.88755,40.82444
河北,承德市,地级市,117.9634,40.9515
河北,沧州市,地级市,116.83869,38.30441
河北,廊坊市,地级市,116.68376,39.53775
河北,衡水市,地级市,115.67054,37.73886
山西,太原市,地级市,112.53,37.87
山西,大同市,地级市,113.3,40.12
山西,阳泉市,地级市,113.57,37.85
山西,长治市,地级市,113.08,36.18
山西,晋城市,地级市,112.83,35.52
山西,朔州市,地级市,112.43286,39.33155
山西,晋中市,地级市,112.70746,37.69978
山西,运城市,地级市,110.97,35.03
山西,吕梁市,地级市,111.14165,37.51934
山西,临汾市,地级市,111.5,36.08
内蒙古,呼和浩特市,地级市,111.65,40.82
内蒙古,包头市,地级市,110,40.58
内蒙古,乌海市,地级市,106.82,39.67
内蒙古,赤峰市,地级市,118.87,42.28
内蒙古,通辽市,地级市,122.28,43.63
内蒙古,鄂尔多斯市,地级市,109.78087,39.60845
内蒙古,呼伦贝尔市,地级市,119.76584,49.21163
内蒙古,巴彦淖尔市,地级市,107.38773,40.74317
内蒙古,乌兰察布市,地级市,113.13376,40.99391
辽宁,沈阳市,副省级市,123.38,41.8
辽宁,大连市,副省级市,121.62,38.92
辽宁,鞍山市,地级市,122.9946,41.10777
辽宁,抚顺市,地级市,123.97,41.97
辽宁,本溪市,地级市,123.73,41.3
辽宁,丹东市,地级市,124.37,40.13
辽宁,锦州市,地级市,121.15,41.13
辽宁,营口市,地级市,122.18,40.65
辽宁,阜新市,地级市,121.65,42
辽宁,辽阳市,地级市,123.17,41.28
辽宁,盘锦市,地级市,122.07078,41.11996
辽宁,铁岭市,地级市,123.85,42.32
辽宁,朝阳市,地级市,120.42,41.58
辽宁,葫芦岛市,地级市,120.83699,40.711
吉林,长春市,副省级市,125.35,43.88
吉林,吉林市,地级市,126.57,43.87
吉林,四平市,地级市,124.37,43.17
吉林,辽源市,地级市,125.15,42.97
吉林,通化市,地级市,125.92,41.49
吉林,白山市,地级市,126.42443,41.9408
吉林,松原市,地级市,124.82515,45.1411
吉林,白城市,地级市,122.82,45.63
黑龙江,哈尔滨市,副省级市,126.63,45.75
黑龙江,齐齐哈尔市,地级市,123.97,47.33
黑龙江,鸡西市,地级市,130.96954,45.29524
